Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Ziad,Aboultaif,Edmonton Manning,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Scott,Aitchison,Parry Sound—Muskoka,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Dan,Albas,Central Okanagan—Similkameen—Nicola,British Columbia,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Omar,Alghabra,Mississauga Centre,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Shafqat,Ali,Brampton Centre,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Dean,Allison,Niagara West,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Anita,Anand,Oakville,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Gary,Anandasangaree,Scarborough—Rouge Park,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Charlie,Angus,Timmins—James Bay,Ontario,NDP,2021-09-20 12:00:00 a.m.,
,Mel,Arnold,North Okanagan—Shuswap,British Columbia,Conservative,2021-09-20 12:00:00 a.m.,
,René,Arseneault,Madawaska—Restigouche,New Brunswick,Liberal,2021-09-20 12:00:00 a.m.,
,Chandra,Arya,Nepean,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Niki,Ashton,Churchill—Keewatinook Aski,Manitoba,NDP,2021-09-20 12:00:00 a.m.,
,Jenica,Atwin,Fredericton,New Brunswick,Liberal,2021-09-20 12:00:00 a.m.,
,Taylor,Bachrach,Skeena—Bulkley Valley,British Columbia,NDP,2021-09-20 12:00:00 a.m.,
,Vance,Badawey,Niagara Centre,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Parm,Bains,Steveston—Richmond East,British Columbia,Liberal,2021-09-20 12:00:00 a.m.,
,Yvan,Baker,Etobicoke Centre,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Tony,Baldinelli,Niagara Falls,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,John,Barlow,Foothills,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Michael,Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Lisa Marie,Barron,Nanaimo—Ladysmith,British Columbia,NDP,2021-09-20 12:00:00 a.m.,
,Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Jaime,Battiste,Sydney—Victoria,Nova Scotia,Liberal,2021-09-20 12:00:00 a.m.,
,Mario,Beaulieu,La Pointe-de-l'Île,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
Hon.,Terry,Beech,Burnaby North—Seymour,British Columbia,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Rachel,Bendayan,Outremont,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Stéphane,Bergeron,Montarville,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Luc,Berthold,Mégantic—L'Érable,Quebec,Conservative,2021-09-20 12:00:00 a.m.,
,Sylvie,Bérubé,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,James,Bezan,Selkirk—Interlake—Eastman,Manitoba,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Marie-Claude,Bibeau,Compton—Stanstead,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Chris,Bittle,St. Catharines,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Bill,Blair,Scarborough Southwest,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Yves-François,Blanchet,Beloeil—Chambly,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Maxime,Blanchette-Joncas,Rimouski-Neigette—Témiscouata—Les Basques,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Rachel,Blaney,North Island—Powell River,British Columbia,NDP,2021-09-20 12:00:00 a.m.,
,Kelly,Block,Carlton Trail—Eagle Creek,Saskatchewan,Conservative,2021-09-20 12:00:00 a.m.,
,Kody,Blois,Kings—Hants,Nova Scotia,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Randy,Boissonnault,Edmonton Centre,Alberta,Liberal,2021-09-20 12:00:00 a.m.,
,Alexandre,Boulerice,Rosemont—La Petite-Patrie,Quebec,NDP,2021-09-20 12:00:00 a.m.,
,Valerie,Bradford,Kitchener South—Hespeler,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Richard,Bragdon,Tobique—Mactaquac,New Brunswick,Conservative,2021-09-20 12:00:00 a.m.,
,John,Brassard,Barrie—Innisfil,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Élisabeth,Brière,Sherbrooke,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Larry,Brock,Brantford—Brant,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Alexis,Brunelle-Duceppe,Lac-Saint-Jean,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Blaine,Calkins,Red Deer—Lacombe,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Richard,Cannings,South Okanagan—West Kootenay,British Columbia,NDP,2021-09-20 12:00:00 a.m.,
,Frank,Caputo,Kamloops—Thompson—Cariboo,British Columbia,Conservative,2021-09-20 12:00:00 a.m.,
,Ben,Carr,Winnipeg South Centre,Manitoba,Liberal,2023-06-19 12:00:00 a.m.,
,Colin,Carrie,Oshawa,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Sean,Casey,Charlottetown,Prince Edward Island,Liberal,2021-09-20 12:00:00 a.m.,
,Louise,Chabot,Thérèse-De Blainville,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
Hon.,Bardish,Chagger,Waterloo,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,George,Chahal,Calgary Skyview,Alberta,Liberal,2021-09-20 12:00:00 a.m.,
,Adam,Chambers,Simcoe North,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,François-Philippe,Champagne,Saint-Maurice—Champlain,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Martin,Champoux,Drummond,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Sophie,Chatel,Pontiac,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Shaun,Chen,Scarborough North,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Paul,Chiang,Markham—Unionville,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Michael D.,Chong,Wellington—Halton Hills,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Chad,Collins,Hamilton East—Stoney Creek,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Laurel,Collins,Victoria,British Columbia,NDP,2021-09-20 12:00:00 a.m.,
,Michael,Cooper,St. Albert—Edmonton,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Serge,Cormier,Acadie—Bathurst,New Brunswick,Liberal,2021-09-20 12:00:00 a.m.,
,Michael,Coteau,Don Valley East,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Chris,d'Entremont,West Nova,Nova Scotia,Conservative,2021-09-20 12:00:00 a.m.,
,Julie,Dabrusin,Toronto—Danforth,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Marc,Dalton,Pitt Meadows—Maple Ridge,British Columbia,Conservative,2021-09-20 12:00:00 a.m.,
,Pam,Damoff,Oakville North—Burlington,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Leila,Dance,Elmwood—Transcona,Manitoba,NDP,2024-09-16 12:00:00 a.m.,
,Raquel,Dancho,Kildonan—St. Paul,Manitoba,Conservative,2021-09-20 12:00:00 a.m.,
,Scot,Davidson,York—Simcoe,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Don,Davies,Vancouver Kingsway,British Columbia,NDP,2021-09-20 12:00:00 a.m.,
,Claude,DeBellefeuille,Salaberry—Suroît,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Gérard,Deltell,Louis-Saint-Laurent,Quebec,Conservative,2021-09-20 12:00:00 a.m.,
,Caroline,Desbiens,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Luc,Desilets,Rivière-des-Mille-Îles,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Blake,Desjarlais,Edmonton Griesbach,Alberta,NDP,2021-09-20 12:00:00 a.m.,
,Sukh,Dhaliwal,Surrey—Newton,British Columbia,Liberal,2021-09-20 12:00:00 a.m.,
,Anju,Dhillon,Dorval—Lachine—LaSalle,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Lena Metlege,Diab,Halifax West,Nova Scotia,Liberal,2021-09-20 12:00:00 a.m.,
,Todd,Doherty,Cariboo—Prince George,British Columbia,Conservative,2021-09-20 12:00:00 a.m.,
,Han,Dong,Don Valley North,Ontario,Independent,2021-09-20 12:00:00 a.m.,
,Terry,Dowdall,Simcoe—Grey,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Earl,Dreeshen,Red Deer—Mountain View,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Francis,Drouin,Glengarry—Prescott—Russell,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Emmanuel,Dubourg,Bourassa,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Jean-Yves,Duclos,Québec,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Terry,Duguid,Winnipeg South,Manitoba,Liberal,2021-09-20 12:00:00 a.m.,
,Eric,Duncan,Stormont—Dundas—South Glengarry,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Kirsty,Duncan,Etobicoke North,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Julie,Dzerowicz,Davenport,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Ali,Ehsassi,Willowdale,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Fayçal,El-Khoury,Laval—Les Îles,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Stephen,Ellis,Cumberland—Colchester,Nova Scotia,Conservative,2021-09-20 12:00:00 a.m.,
,Dave,Epp,Chatham-Kent—Leamington,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Nathaniel,Erskine-Smith,Beaches—East York,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Rosemarie,Falk,Battlefords—Lloydminster,Saskatchewan,Conservative,2021-09-20 12:00:00 a.m.,
,Ted,Falk,Provencher,Manitoba,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Greg,Fergus,Hull—Aylmer,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Michelle,Ferreri,Peterborough—Kawartha,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Kerry-Lynne D.,Findlay,South Surrey—White Rock,British Columbia,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Darren,Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal,2021-09-20 12:00:00 a.m.,
,Peter,Fonseca,Mississauga East—Cooksville,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Mona,Fortier,Ottawa—Vanier,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Rhéal Éloi,Fortin,Rivière-du-Nord,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Peter,Fragiskatos,London North Centre,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Sean,Fraser,Central Nova,Nova Scotia,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Chrystia,Freeland,University—Rosedale,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal,2021-09-20 12:00:00 a.m.,
,Iqwinder,Gaheer,Mississauga—Malton,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
